year,gq,gqtypeg,farm,ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,relateg,age,sex,raceg,marst,chborn,school,educrec,schltype,empstatg,labforce,occscore,sei,classwkg,wkswork2,hrswork2,workedyr,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,migrat5g,movedin,vetstat,binaryClass
98,0,4,1,0,999999,0,42065,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,99,99,1,3,50,1,6,0,13,1,6,2,2,1,20,8,1,3,8,1,16860,15605,0,0,0,0,0,501,2,6,1,1
98,0,4,1,1,999999,287,11630,1,2,1,1,4,0,3,3,0,3,0,0,7,0,0,1,99,99,2,6,3,1,6,3,13,0,8,3,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,100,5,0,2,1
98,0,4,1,0,112500,0,18205,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,11,1,3,3,13,1,6,2,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,209,2,0,2,1
98,0,4,1,1,999999,212,11300,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,12,12,0,12,50,0,6,2,3,0,5,3,0,1,27,64,1,3,6,1,7205,7205,0,0,0,0,0,192,5,0,0,0
98,0,4,1,0,137500,0,48010,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,15,0,6,3,12,1,7,0,3,2,0,0,2,6,8,2,0,999999,999999,999999,0,0,0,501,2,0,2,1
98,0,4,1,0,85000,0,19400,1,1,2,1,0,0,0,0,0,0,2,1,4,1,1,1,2,2,0,3,60,1,6,2,13,0,5,3,0,1,37,49,1,3,4,1,11570,8885,0,0,0,0,2685,254,5,2,0,0
98,0,4,1,1,999999,325,18005,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,11,11,0,3,31,0,6,0,3,1,0,2,0,1,40,77,1,5,4,1,18005,18005,0,0,0,0,0,358,3,2,0,0
98,0,4,1,0,95000,0,35420,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,14,1,6,3,13,1,6,0,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,407,5,0,2,1
98,0,4,1,1,999999,325,7620,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,1,11,8,0,3,35,0,6,0,4,0,0,3,0,1,25,44,1,5,4,1,7620,7415,0,0,0,0,0,130,4,1,0,1
98,0,4,1,0,67500,0,15740,1,1,2,1,3,0,2,0,0,0,0,0,7,0,0,1,99,99,3,2,12,1,6,3,13,1,6,2,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,139,2,0,2,1
98,0,4,1,0,112500,0,33395,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,0,12,1,6,3,13,1,6,2,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,451,2,0,2,1
98,0,4,1,1,999999,262,12505,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,29,0,6,0,12,0,0,3,0,1,41,68,1,5,4,1,12505,12505,0,0,0,0,0,330,5,2,0,1
98,0,4,1,1,999999,325,3175,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,87,1,6,2,13,0,5,3,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,72,2,2,1,1
98,0,4,1,1,999999,1,18205,2,0,0,1,0,0,0,1,0,1,0,0,2,0,0,1,99,99,0,0,13,0,6,3,13,1,6,0,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,362,3,0,2,1
98,0,4,1,1,999999,212,10160,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,62,0,6,0,3,0,5,3,0,1,22,51,1,5,4,1,10160,10005,0,0,0,0,0,268,2,5,0,1
98,0,4,1,1,999999,155,3840,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,99,99,1,10,1,0,6,3,13,0,9,3,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,65,5,0,2,1
98,0,4,1,0,112500,0,53330,1,1,1,1,2,0,1,1,0,1,0,0,7,0,0,1,99,99,4,0,16,0,6,3,12,1,3,2,2,1,0,0,2,6,8,0,0,0,0,0,0,0,0,441,2,0,0,1
98,0,4,1,1,999999,375,6510,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,18,18,0,3,39,0,6,0,6,0,4,3,0,1,11,16,1,5,2,1,4505,4505,0,0,0,0,0,133,5,1,0,1
98,2,7,1,2,999999,0,999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,5,90,0,6,5,12,0,6,3,1,0,0,0,2,6,8,0,4355,0,0,0,0,4355,0,0,5,0,0,1
98,0,4,1,0,23750,0,17985,1,1,1,0,3,1,1,0,0,0,1,1,3,0,0,1,99,99,0,12,60,0,6,2,12,0,5,3,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,315,5,0,0,1
98,0,4,1,0,200000,0,54245,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,0,13,0,6,3,13,1,6,1,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,501,3,0,2,1
98,0,4,1,1,999999,325,24165,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,24,1,3,2,13,0,0,3,0,1,15,26,1,5,7,1,16160,16005,0,0,0,0,0,495,0,1,0,1
98,0,4,1,0,137500,0,46485,1,1,1,1,2,0,1,1,0,1,0,0,3,0,0,1,99,99,0,0,0,0,6,3,13,0,9,3,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,501,5,0,2,1
98,0,4,1,0,95000,0,37850,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,12,40,0,5,2,12,0,0,3,0,1,24,44,1,5,4,1,14805,14805,0,0,0,0,0,501,5,0,0,1
98,0,4,1,1,999999,85,4810,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,72,0,1,5,2,0,2,3,1,0,0,0,2,6,8,0,4810,0,0,0,4445,0,0,137,5,6,0,1
98,0,4,1,1,999999,325,26305,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,26,1,6,3,13,0,1,3,0,1,35,68,1,5,4,1,26305,26305,0,0,0,0,0,501,1,1,0,1
98,0,4,1,1,999999,450,9660,4,1,1,1,0,0,0,0,0,0,2,1,4,1,1,1,1,1,1,3,29,1,2,2,13,1,0,2,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,126,0,1,0,1
98,0,4,1,1,999999,325,7205,1,0,1,0,0,0,0,0,0,0,0,0,5,4,0,1,16,5,0,3,35,0,6,0,6,0,5,3,0,1,18,44,1,5,4,1,7205,7205,0,0,0,0,0,84,3,1,0,1
98,0,4,1,1,999999,135,8045,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,99,99,0,0,3,1,6,3,13,1,8,0,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,160,5,0,2,1
98,0,4,1,1,999999,262,24005,1,1,1,1,1,0,1,2,0,1,0,0,5,0,0,1,99,99,2,0,2,0,6,3,13,0,9,3,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,276,5,0,2,1
98,0,4,1,1,999999,325,18005,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,99,99,0,0,11,0,6,3,13,1,6,2,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,358,3,0,2,1
98,0,4,1,1,999999,262,11005,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,21,0,6,3,12,0,5,3,0,1,25,44,1,5,4,1,11005,11005,0,0,0,0,0,290,3,1,0,1
98,0,4,1,1,999999,500,26910,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,15,1,6,3,13,1,6,2,3,2,0,0,2,6,8,2,0,999999,999999,999999,0,0,0,309,3,0,2,1
98,0,4,1,0,112500,0,39520,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,0,20,1,6,3,13,1,0,2,0,1,24,47,1,5,4,1,6005,6005,0,0,0,0,0,393,5,0,0,0
98,0,4,1,1,999999,145,9105,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,99,99,1,10,82,0,6,5,12,0,6,3,1,0,0,0,2,6,8,0,4830,0,0,0,3265,1565,0,207,5,0,0,1
98,0,4,1,0,37500,0,4810,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,72,1,6,2,13,0,1,3,1,0,0,0,2,6,8,0,2405,0,0,0,2405,0,0,109,2,7,0,1
98,0,4,1,0,62500,0,75000,1,1,2,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,2,0,24,1,1,3,13,0,0,3,0,1,22,20,1,4,6,1,17505,17505,0,0,0,0,0,501,5,0,0,1
98,0,4,1,1,999999,262,8005,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,0,7,1,6,3,13,0,2,3,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,82,5,0,2,1
98,0,4,1,1,999999,450,11150,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,15,15,0,3,46,1,6,2,13,0,8,3,0,1,41,68,0,5,4,1,11150,10925,0,0,0,0,0,190,5,1,0,1
98,0,4,1,0,72500,0,24110,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,42,1,6,2,13,0,1,3,0,1,11,18,1,5,4,1,19505,19505,0,0,0,0,0,494,5,1,2,1
98,0,4,1,0,999999,0,23925,1,1,1,1,1,0,1,2,0,1,0,0,7,0,0,1,99,99,4,0,23,0,6,3,12,1,0,2,0,1,26,52,1,5,4,1,1960,955,0,0,0,0,0,202,5,0,0,0
98,0,4,1,1,999999,287,13445,1,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,99,99,1,0,5,0,6,3,13,1,8,1,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,229,3,0,2,1
98,0,4,1,0,137500,0,26870,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,17,0,6,3,12,1,4,2,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,301,5,0,0,1
98,0,4,1,1,999999,185,4005,1,1,1,1,2,0,1,1,0,1,0,0,7,0,0,1,99,99,4,0,11,1,6,3,13,1,2,2,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,37,2,0,2,1
98,0,4,1,1,999999,325,12005,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,30,1,3,4,13,0,6,3,0,1,24,47,1,5,6,1,12005,12005,0,0,0,0,0,316,5,1,0,1
98,0,4,1,1,999999,175,18220,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,0,19,0,4,3,12,1,3,2,2,1,18,44,1,0,8,1,805,805,0,0,0,0,0,242,5,0,0,1
98,0,4,1,1,999999,175,3305,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,5,38,0,1,0,4,0,5,3,0,1,26,22,1,6,3,0,0,0,0,0,0,0,0,1,5,0,0,0
98,0,4,1,1,999999,500,55815,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,12,54,0,6,2,4,0,5,3,0,1,41,68,1,5,4,1,44205,44205,0,0,0,0,0,501,5,0,0,0
98,0,4,1,0,175000,0,29125,1,1,1,1,0,0,0,0,0,0,2,1,4,2,0,1,16,14,0,3,38,1,6,2,13,0,5,3,0,1,35,62,1,5,4,1,11810,5005,0,0,0,0,0,394,5,5,0,1
98,0,4,1,1,999999,212,15530,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,11,9,0,12,30,0,1,2,4,1,0,2,0,1,30,65,1,4,1,1,1315,1315,0,0,0,0,0,210,2,0,0,0
98,0,4,1,1,999999,237,11005,1,0,1,0,0,0,0,0,0,0,0,0,4,3,0,1,20,6,0,3,45,0,6,4,9,0,8,3,0,1,17,26,1,2,4,1,11005,11005,0,0,0,0,0,149,5,5,0,0
98,0,4,1,1,999999,450,4910,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,85,0,6,5,4,0,5,3,1,0,0,0,2,6,8,0,4910,0,0,0,2105,2805,0,140,5,2,0,1
98,0,4,1,0,95000,0,30695,1,0,1,0,2,0,1,0,0,0,0,0,2,0,0,1,99,99,0,3,48,1,4,3,13,0,1,3,0,1,27,31,1,5,4,1,30000,26665,0,0,0,0,0,501,5,6,0,1
98,0,4,1,0,112500,0,20010,1,1,1,1,0,0,0,0,0,0,2,1,4,2,1,1,6,4,0,3,35,1,6,2,13,0,0,3,0,1,41,68,1,5,6,1,16005,16005,0,0,0,0,0,271,3,2,0,1
98,0,4,1,0,21250,0,4510,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,12,41,0,1,2,3,0,5,3,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,92,5,0,0,1
98,0,4,1,0,85000,0,14935,1,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,99,99,2,0,19,1,6,3,13,1,5,2,0,1,16,15,1,5,1,1,3605,3605,0,0,0,0,0,195,5,0,0,1
98,0,4,1,0,85000,0,21010,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,8,8,0,12,44,0,3,2,5,0,5,3,0,1,11,16,1,5,1,1,4005,4005,0,0,0,0,0,358,5,0,0,1
98,0,4,1,0,95000,0,20600,1,1,1,1,0,0,0,0,0,0,1,1,6,3,0,1,11,5,0,12,34,0,6,2,5,0,0,3,1,0,24,44,1,6,8,0,0,0,0,0,0,0,0,211,5,0,0,1
98,0,4,1,1,999999,175,10005,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,0,8,0,6,3,13,1,2,2,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,135,5,0,2,1
98,0,4,1,1,999999,185,11115,1,0,1,0,4,0,1,0,0,0,0,0,5,0,0,1,99,99,2,10,24,0,6,4,3,0,6,3,0,1,23,16,1,2,3,1,2805,2805,0,0,0,0,0,121,0,0,0,0
98,0,4,1,0,95000,0,35150,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,59,1,6,2,13,0,0,3,0,1,38,68,1,5,4,1,35150,29645,0,0,0,0,0,501,2,7,1,0
98,0,4,1,1,999999,105,1450,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,26,1,1,3,13,0,5,3,2,1,31,33,1,0,8,1,1450,725,0,0,0,0,725,38,3,2,0,1
98,0,4,1,0,200000,0,68020,1,1,1,1,0,0,0,0,0,0,1,2,3,1,1,1,0,0,0,12,34,1,6,2,13,0,1,3,0,1,41,68,1,5,6,1,44010,43005,0,0,0,0,0,501,5,0,0,1
98,0,4,1,1,999999,237,25190,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,6,1,5,3,13,1,8,2,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,289,3,0,2,1
98,0,4,1,0,77500,0,26505,1,1,1,1,0,0,0,0,0,0,2,1,6,4,0,1,14,7,0,3,35,1,6,2,13,0,4,3,0,1,31,73,1,5,6,1,26505,26505,0,0,0,0,0,272,2,6,1,1
98,0,4,1,0,26250,0,12870,2,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,99,99,1,0,5,0,6,3,13,1,8,2,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,219,5,0,2,1
98,0,4,1,0,112500,0,31390,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,17,17,0,12,39,0,6,2,4,0,0,3,0,1,4,27,1,3,4,1,7605,7605,0,0,0,0,0,501,1,0,0,1
98,0,4,1,0,112500,0,53215,1,1,1,0,0,0,0,0,0,0,1,1,5,0,0,1,99,99,0,12,54,0,6,2,3,0,0,3,0,1,22,61,1,5,4,1,13205,13205,0,0,0,0,0,501,5,0,0,1
98,0,4,1,1,999999,237,8005,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,31,1,6,3,13,0,2,3,0,1,23,18,1,5,1,1,8005,8005,0,0,0,0,0,211,3,2,0,1
98,0,4,1,1,999999,125,4255,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,53,1,6,3,13,0,6,3,1,0,0,0,2,6,8,0,4255,0,0,0,4255,0,0,112,2,8,0,1
98,0,4,1,1,999999,500,15510,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,0,3,0,6,3,13,0,8,3,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,159,5,0,2,1
98,0,4,1,1,999999,195,18560,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,32,1,6,3,13,1,1,2,0,1,31,65,1,5,4,1,18560,18505,0,0,0,0,0,489,3,2,0,1
98,0,4,1,0,999999,0,3430,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,82,0,6,5,4,0,4,3,1,0,0,0,2,6,8,0,3430,0,0,0,3225,0,0,98,5,7,0,1
98,0,4,1,1,999999,237,6765,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,2,0,6,3,13,1,8,0,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,78,5,0,2,1
98,0,4,1,1,999999,262,15085,1,1,2,1,0,0,0,0,0,0,1,1,5,2,0,1,32,24,0,12,63,0,3,2,9,0,5,3,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,164,5,0,0,1
98,0,4,1,1,999999,145,9685,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,0,1,6,3,13,0,9,3,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,111,5,0,2,1
98,0,4,1,0,32500,0,4005,1,1,1,1,2,0,1,1,0,1,0,0,8,0,0,1,99,99,5,0,15,1,6,3,13,1,6,2,3,2,0,0,2,6,8,2,0,999999,999999,999999,0,0,0,33,5,0,2,1
98,0,4,1,1,999999,212,17505,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,14,12,0,12,17,0,6,2,12,0,2,3,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,237,5,0,0,1
98,0,4,1,0,42499,0,1405,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,12,26,0,1,2,12,0,4,3,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,29,3,0,0,1
98,0,4,1,1,999999,287,5865,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,11,1,0,3,30,0,6,1,4,0,5,3,1,0,0,0,2,6,8,0,5865,0,0,0,0,5865,0,100,2,5,0,1
98,0,4,1,0,23750,0,8325,1,1,1,1,0,0,0,0,0,0,2,1,4,2,0,1,11,9,0,3,32,1,6,2,13,0,6,3,1,0,26,19,1,6,8,0,0,0,0,0,0,0,0,113,2,2,0,1
98,0,4,1,1,999999,500,-1165,1,1,0,0,0,0,0,0,0,0,1,1,3,0,0,1,99,99,0,12,63,0,1,2,12,0,6,3,0,1,6,7,1,5,7,1,3345,605,0,0,1965,775,0,1,2,0,0,1
98,0,4,1,0,62500,0,22030,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,99,99,0,3,60,1,6,5,13,0,6,3,0,1,20,9,1,5,4,1,17085,17085,0,0,0,0,0,451,5,6,1,0
98,0,4,1,1,999999,262,14005,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,17,17,0,3,58,0,6,4,4,0,0,3,0,1,22,61,1,5,4,1,14005,14005,0,0,0,0,0,279,2,5,0,1
98,0,4,1,0,999999,0,13005,1,1,1,1,2,0,1,1,0,1,0,0,7,0,0,1,99,99,4,0,11,1,6,3,13,1,2,2,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,119,5,0,2,1
98,0,4,1,0,85000,0,33020,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,33,1,6,2,13,0,1,3,0,1,33,48,1,5,5,1,24310,24005,0,0,0,0,0,501,2,1,0,1
98,0,4,1,0,112500,0,53120,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,0,14,1,6,3,13,1,6,2,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,501,5,0,2,1
98,0,4,1,0,67500,0,10285,1,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,99,99,2,0,16,0,6,3,12,1,7,2,0,1,18,44,1,6,1,0,0,0,0,0,0,0,0,139,5,0,0,1
98,0,4,1,1,999999,165,16255,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,99,99,1,11,24,1,6,3,13,0,2,3,0,1,28,22,1,5,4,1,8845,8845,0,0,0,0,0,285,0,0,0,1
98,0,4,1,1,999999,262,17200,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,26,26,0,3,63,1,6,2,13,0,1,3,0,1,31,65,1,5,4,1,17200,16695,0,0,0,0,0,301,2,5,1,1
98,0,4,1,1,999999,325,15005,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,0,16,1,6,3,13,1,7,2,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,203,5,0,0,1
98,0,4,1,0,175000,0,75000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,89,1,6,5,13,0,1,3,1,0,39,73,1,0,8,1,75000,2785,0,0,4595,0,0,501,5,7,0,1
98,0,4,1,0,999999,0,44725,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,99,99,2,3,34,0,6,3,12,0,1,3,1,0,39,81,1,6,8,0,9410,0,0,0,5005,0,0,501,5,6,0,1
98,0,4,1,0,42499,0,0,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,6,6,0,12,26,0,1,2,3,0,5,3,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,1,5,0,0,1
98,0,4,1,0,137500,0,17215,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,74,1,6,2,13,1,1,2,1,0,0,0,2,6,8,0,17215,0,0,0,3555,0,1155,390,0,2,0,1
98,0,4,1,1,999999,125,4275,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,99,99,0,2,19,0,1,3,3,0,4,3,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,56,2,0,0,1
98,0,4,1,1,999999,500,21005,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,69,1,6,2,13,0,6,3,0,1,23,18,0,5,4,1,21005,0,21005,0,0,0,0,476,2,5,0,1
98,0,4,1,0,999999,0,18835,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,99,99,2,10,32,0,6,4,3,0,6,3,0,1,41,68,1,4,4,1,6705,6705,0,0,0,0,0,330,3,0,0,1
98,0,4,1,1,999999,262,46775,1,1,1,1,0,0,0,0,0,0,0,0,11,0,0,1,99,99,0,6,25,1,6,3,13,0,0,3,0,1,22,61,1,5,4,1,6765,6765,0,0,0,0,0,309,5,0,0,1
98,0,4,1,1,999999,237,8835,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,99,99,0,0,6,0,6,3,13,1,8,2,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,176,1,0,2,1
98,0,4,1,1,999999,0,20515,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,1,0,3,0,6,3,13,0,8,3,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,230,5,0,2,1
98,0,4,1,0,77500,0,35715,1,1,1,1,2,0,1,1,0,1,0,0,3,0,0,1,99,99,0,0,24,0,6,3,12,1,1,2,0,1,36,66,1,5,3,1,13105,13105,0,0,0,0,0,501,5,0,0,1
98,0,4,1,0,137500,0,33375,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,17,12,0,12,37,0,6,2,4,0,3,3,0,1,22,51,1,2,4,1,9865,9865,0,0,0,0,0,451,5,0,0,1
98,0,4,1,1,999999,450,14235,1,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,99,99,1,0,19,0,6,3,12,1,0,2,0,1,24,44,1,1,4,1,2805,2805,0,0,0,0,0,242,2,0,0,1
98,0,4,1,0,112500,0,53480,1,1,0,0,0,0,0,0,0,0,1,1,3,0,0,1,99,99,0,12,60,0,6,2,5,0,3,3,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,501,2,0,0,1
