year,gq,gqtypeg,farm,ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,relateg,age,sex,raceg,marst,chborn,school,educrec,schltype,empstatg,labforce,occscore,sei,classwkg,wkswork2,hrswork2,yrlastwk,workedyr,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,migrat5g,movedin,vetstat,binaryClass
99,0,1,1,1,999999,512,26512,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,28,1,6,2,13,0,1,0,0,1,27,31,1,5,4,7,1,26512,26300,0,0,0,0,0,319,0,2,0,1
99,1,0,1,2,999999,0,999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,4,79,0,6,5,5,0,1,0,1,0,0,0,2,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1
99,0,1,1,0,137500,0,20840,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,10,10,0,3,51,1,6,2,13,0,5,0,0,1,25,22,1,3,4,7,1,15840,15840,0,0,0,0,0,209,1,6,0,1
99,0,1,1,1,999999,512,42000,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,99,99,2,10,32,1,4,3,13,0,5,0,0,1,16,15,1,3,4,7,1,12000,12000,0,0,0,0,0,433,0,0,0,0
99,0,1,1,0,162500,0,90929,1,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,99,99,2,0,21,1,6,3,13,0,5,0,0,1,24,19,1,3,4,7,1,15000,15000,0,0,0,0,0,501,1,0,0,1
99,0,1,1,1,999999,412,32285,1,0,0,1,0,0,0,1,0,1,0,0,5,0,0,1,99,99,3,0,12,1,6,3,13,1,6,2,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,206,0,0,2,1
99,0,1,1,0,162500,0,15000,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,60,1,1,2,13,0,5,0,1,0,0,0,2,6,8,3,0,15000,0,0,0,0,0,0,181,1,6,1,1
99,0,1,1,0,162500,0,29449,1,1,1,1,0,0,0,0,0,0,2,1,4,2,0,1,20,10,0,3,62,1,6,2,13,0,6,0,1,0,0,0,2,6,8,5,0,6360,0,0,0,0,6360,0,227,1,6,0,1
99,0,1,1,0,162500,0,52000,1,0,1,0,2,0,1,0,0,0,0,0,2,0,0,1,99,99,0,3,43,1,6,3,13,0,1,0,0,1,27,72,1,5,6,7,1,42000,33000,0,0,0,0,0,501,1,5,0,1
99,0,1,1,0,400000,0,201316,1,1,1,1,0,0,0,0,0,0,2,1,3,1,1,1,3,3,0,3,33,1,6,2,13,0,0,0,0,1,31,65,1,5,7,7,1,199316,195516,0,0,0,0,0,501,0,2,0,1
99,0,1,1,1,999999,1000,21010,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,9,25,1,6,3,13,1,1,2,0,1,11,18,1,3,4,7,1,24800,24000,0,0,0,0,0,384,0,0,0,0
99,0,1,1,1,999999,575,1500,1,1,1,1,0,0,0,0,0,0,2,1,5,3,1,1,11,1,0,3,34,1,6,2,13,0,8,0,0,1,23,18,1,1,0,7,1,1500,1500,0,0,0,0,0,10,1,2,0,1
99,0,1,1,1,999999,1000,32200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,40,1,6,0,13,0,0,0,0,1,24,47,1,5,5,7,1,32200,32000,0,0,0,0,0,499,0,1,0,1
99,0,1,1,1,999999,112,12192,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,12,76,0,6,2,6,0,2,0,1,0,0,0,2,6,8,3,0,5448,0,0,0,3984,1464,0,163,1,0,0,1
99,0,1,1,1,999999,875,31800,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,16,1,6,3,13,1,6,2,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,210,0,0,0,1
99,0,1,1,1,999999,575,16000,1,1,1,1,2,7,1,1,0,1,0,0,7,0,0,1,99,99,4,0,9,0,6,3,13,0,2,0,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,86,0,0,2,1
99,0,1,1,1,999999,262,31000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,57,0,3,5,12,0,5,0,0,1,32,42,1,4,5,7,1,31000,30000,0,0,0,0,0,481,1,7,0,1
99,0,1,1,0,37500,0,13800,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,66,1,6,2,13,0,5,0,1,0,0,0,2,6,8,3,0,13800,0,0,0,9600,0,0,184,1,7,1,1
99,0,1,1,0,350000,0,96380,1,1,1,1,0,0,0,0,0,0,1,1,5,3,0,1,22,13,0,12,45,0,6,2,5,0,1,0,0,1,26,72,1,4,6,7,1,33000,33000,0,0,0,0,0,501,1,0,0,1
99,0,1,1,0,400000,0,70000,1,1,1,1,0,0,0,0,0,0,2,2,4,2,0,1,12,9,0,3,40,0,6,2,4,0,1,0,0,1,41,68,1,2,2,7,1,0,0,0,0,0,0,0,501,1,6,0,1
99,0,1,1,1,999999,575,17300,1,1,1,1,0,0,0,0,0,0,2,2,4,1,1,1,3,3,1,3,24,0,6,2,3,0,5,0,0,1,22,18,1,4,5,7,1,6500,6500,0,0,0,0,0,133,0,1,0,1
99,0,1,1,0,225000,0,107300,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,99,99,0,5,21,0,2,3,12,1,0,2,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1
99,0,1,1,1,999999,462,12160,2,1,1,1,2,0,1,1,0,1,0,0,8,0,0,1,99,99,4,0,0,0,6,3,13,2,9,3,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,58,2,0,2,1
99,0,1,1,1,999999,537,26967,1,1,1,1,0,0,0,0,0,0,2,1,4,1,0,1,5,5,0,3,40,1,4,2,13,1,1,2,0,1,41,68,1,4,5,7,1,11967,11967,0,0,0,0,0,207,0,1,0,1
99,0,1,1,1,999999,262,6720,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,3,3,0,3,35,0,6,0,3,0,0,0,1,0,0,0,2,6,8,0,0,6720,0,0,0,0,6720,0,79,1,5,0,1
99,0,1,1,0,162500,0,68000,1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,1,99,99,0,12,49,0,6,2,12,0,5,0,0,1,37,78,1,5,4,7,1,28000,28000,0,0,0,0,0,501,1,0,0,1
99,0,1,1,0,225000,0,44456,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,99,99,0,3,48,0,1,3,12,0,5,0,0,1,30,24,1,3,8,6,1,33728,24000,0,0,3828,0,0,501,1,6,0,1
99,0,1,1,0,77500,0,39000,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,20,8,0,12,41,0,1,2,5,0,1,0,0,1,29,72,1,3,3,7,1,7000,7000,0,0,0,0,0,300,1,0,0,1
99,0,1,1,0,112500,0,33140,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,20,20,0,3,42,1,6,2,13,0,5,0,0,1,23,18,1,4,4,7,1,25000,25000,0,0,0,0,0,342,1,6,0,1
99,0,1,1,0,400000,0,195516,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,35,1,1,3,13,1,1,2,0,1,79,92,1,5,4,7,1,195516,195516,0,0,0,0,0,501,0,1,0,1
99,0,1,1,0,112500,0,61400,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,21,0,6,3,12,0,5,0,0,1,18,44,1,0,0,7,1,400,400,0,0,0,0,0,392,1,0,0,1
99,0,1,1,0,52500,0,25008,1,1,1,1,0,0,0,0,0,0,0,0,6,0,0,1,99,99,0,2,12,1,1,3,13,1,6,2,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,151,1,0,2,1
99,0,1,1,0,275000,0,87000,1,1,1,1,0,0,0,0,0,0,1,2,4,2,0,1,15,12,0,12,40,1,6,2,13,0,5,0,0,1,20,8,1,5,5,7,1,40000,40000,0,0,0,0,0,501,1,0,1,1
99,0,1,1,1,999999,875,38800,1,2,1,1,0,0,0,0,0,0,0,0,10,0,0,1,99,99,3,10,24,0,6,1,3,0,5,0,2,1,41,68,1,6,8,1,0,0,0,0,0,0,0,0,147,0,0,0,1
99,0,1,1,1,999999,575,28000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,26,0,6,3,12,0,1,0,0,1,41,72,1,5,6,7,1,28000,28000,0,0,0,0,0,434,0,1,0,1
99,0,1,1,0,162500,0,16182,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,77,0,6,5,4,0,5,0,1,0,27,39,1,6,8,2,0,16182,0,0,0,10367,0,0,272,1,7,0,1
99,0,1,1,1,999999,187,7032,1,0,1,0,1,0,1,0,0,0,0,0,6,0,0,1,99,99,4,0,10,1,6,3,13,1,6,2,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,42,1,0,2,1
99,0,1,1,1,999999,362,63000,1,1,1,1,0,0,0,0,0,0,0,0,7,0,0,1,99,99,0,6,25,1,6,3,13,1,5,2,0,1,27,22,1,5,4,7,1,13000,13000,0,0,0,0,0,318,1,0,0,1
99,0,1,1,1,999999,512,5000,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,20,1,6,3,13,0,0,0,0,1,18,19,1,1,2,7,1,5000,5000,0,0,0,0,0,78,1,1,0,1
99,0,1,1,0,137500,0,60650,1,1,2,1,0,0,0,0,0,0,1,1,5,2,0,1,8,5,0,12,38,0,6,2,4,0,0,0,0,1,27,64,1,2,4,7,1,15200,13600,0,0,0,0,1600,400,0,0,0,1
99,0,1,1,1,999999,875,3431,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,0,21,0,4,3,12,1,5,2,0,1,22,61,1,2,1,7,1,1685,1685,0,0,0,0,0,26,0,0,0,1
99,0,1,1,1,999999,725,22200,1,1,1,1,0,0,0,0,0,0,1,1,4,2,1,1,5,1,0,12,33,0,6,2,4,0,5,0,0,1,6,7,1,5,2,7,1,7200,7200,0,0,0,0,0,177,0,0,0,1
99,0,1,1,0,350000,0,42000,1,0,2,0,1,0,1,0,0,0,0,0,5,0,0,1,99,99,1,0,8,0,6,3,13,1,2,2,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,277,0,0,2,1
99,0,1,1,1,999999,625,70000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,32,1,6,3,13,0,5,0,1,0,20,8,1,3,8,4,1,70000,70000,0,0,0,0,0,501,0,2,0,1
99,0,1,1,0,350000,0,198616,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,0,7,1,6,3,13,1,8,1,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,501,1,0,2,1
99,0,1,1,0,400000,0,39000,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,99,99,0,0,6,0,6,3,13,1,8,2,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,456,1,0,2,1
99,0,1,1,0,400000,0,91524,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,18,16,0,12,46,0,6,2,4,0,1,0,0,1,35,66,1,5,4,7,1,30800,30000,800,0,0,0,0,501,1,0,0,1
99,0,1,1,1,999999,212,35000,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,52,1,6,3,13,0,0,0,0,1,33,60,1,5,4,7,1,35000,25000,0,0,0,0,0,501,1,7,1,1
99,0,1,1,0,187500,0,10211,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,57,1,6,0,13,0,5,0,0,1,41,68,0,5,4,7,1,10211,10211,0,0,0,0,0,158,0,1,0,1
99,0,1,1,0,400000,0,43000,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,39,1,6,3,13,0,0,0,0,1,25,18,1,5,7,7,1,43000,43000,0,0,0,0,0,501,1,6,0,1
99,0,1,1,0,275000,0,29560,1,2,2,2,2,0,1,1,0,1,0,0,6,0,0,1,99,99,1,0,7,1,6,3,13,1,2,1,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,169,0,0,2,1
99,0,1,1,1,999999,337,28300,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,33,0,6,3,12,0,1,0,0,1,17,8,1,5,4,7,1,28300,28000,0,0,0,0,0,439,1,6,0,1
99,0,1,1,0,400000,0,135500,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,55,1,6,2,13,0,5,0,0,1,31,33,1,5,6,7,1,87500,85000,0,0,0,0,0,501,1,6,1,1
99,0,1,1,1,999999,575,20000,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,99,99,1,10,19,1,6,1,13,0,8,0,0,1,17,11,1,5,4,7,1,13000,13000,0,0,0,0,0,154,0,0,0,0
99,0,1,1,0,112500,0,39494,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,57,0,6,0,4,0,1,0,0,1,26,72,1,3,1,7,1,39494,33678,0,0,0,0,0,501,1,5,0,1
99,0,1,1,0,400000,0,143515,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,73,1,6,0,13,0,1,0,0,1,61,93,0,5,3,7,1,143515,0,123515,0,0,0,0,501,1,2,0,1
99,0,1,1,1,999999,875,23680,1,1,1,2,0,0,0,0,0,0,1,1,6,2,0,1,34,13,0,12,50,0,1,2,8,0,5,0,1,0,22,18,1,0,8,6,1,280,280,0,0,0,0,0,139,0,0,0,1
99,0,1,1,0,112500,0,21584,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,17,1,6,3,13,1,4,2,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,142,1,0,0,1
99,0,1,1,1,999999,537,59200,1,1,1,1,2,0,1,1,3,1,0,0,3,0,0,1,99,99,0,0,4,1,6,3,13,0,8,0,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,501,2,0,2,1
99,0,1,1,1,999999,412,22200,1,1,1,1,0,0,0,0,0,0,2,1,6,3,3,1,4,0,0,3,29,1,6,2,13,0,6,0,0,1,25,15,1,5,4,7,1,8640,8640,0,0,0,0,0,130,0,2,0,1
99,0,1,1,1,999999,537,8000,1,1,2,1,0,0,0,0,0,0,2,1,6,1,0,1,31,31,0,7,48,0,6,2,0,0,8,0,1,0,0,0,2,6,8,3,0,0,0,0,0,0,0,0,47,0,0,0,1
99,0,1,1,0,137500,0,13190,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,12,68,0,6,2,12,0,8,0,1,0,0,0,2,6,8,0,0,4000,0,0,0,0,4000,0,176,1,0,0,1
99,0,1,1,1,999999,875,35000,1,1,1,1,0,0,0,0,0,0,2,1,4,2,1,1,8,4,0,3,37,1,6,2,13,0,0,0,0,1,25,18,1,5,5,7,1,35000,35000,0,0,0,0,0,278,0,2,0,1
99,0,1,1,0,162500,0,48459,1,1,1,1,0,0,0,0,0,0,1,1,4,1,0,1,8,8,0,12,32,0,6,2,3,0,3,0,1,0,0,0,2,6,8,3,0,0,0,0,0,0,0,0,373,0,0,0,1
99,0,1,1,0,137500,0,22000,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,0,16,0,6,3,12,1,4,2,1,0,24,44,1,0,8,6,1,1000,1000,0,0,0,0,0,133,1,0,0,1
99,0,1,1,0,137500,0,25744,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,5,3,0,3,26,0,6,0,5,0,5,0,0,1,25,44,1,5,4,7,1,25744,18544,0,0,0,0,7200,258,0,2,0,1
99,0,1,1,1,999999,312,36000,1,0,2,0,1,0,1,0,0,0,0,0,7,0,0,1,99,99,2,0,2,1,6,3,13,2,9,3,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,187,2,0,2,1
99,0,1,1,0,275000,0,85194,1,1,2,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,2,0,23,1,6,3,13,0,0,0,2,1,32,37,1,2,8,4,1,13194,13194,0,0,0,0,0,478,1,0,0,1
99,0,1,1,0,225000,0,76152,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,28,28,0,12,63,0,6,2,4,0,3,0,1,0,11,11,1,6,8,1,0,15640,0,0,0,13972,0,0,501,1,0,0,1
99,0,1,1,1,999999,312,89220,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,99,99,1,10,43,1,1,1,13,0,2,0,2,1,20,52,1,2,8,4,1,89220,75000,0,0,5568,0,8652,501,0,0,0,1
99,0,1,1,0,62500,0,49241,1,2,1,1,4,0,1,3,0,1,0,0,7,0,0,1,99,99,3,10,19,1,6,3,13,1,5,2,0,1,21,18,1,2,1,7,1,9500,9500,0,0,0,0,0,244,1,0,0,1
99,0,1,1,0,350000,0,12000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,59,1,1,3,13,0,0,0,1,0,33,48,1,6,8,2,0,12000,0,0,0,0,0,12000,186,1,8,0,1
99,0,1,1,0,275000,0,9500,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,11,1,6,3,13,1,6,2,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,64,1,0,2,1
99,0,1,1,1,999999,487,28268,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,12,51,0,4,2,12,0,1,0,0,1,22,32,1,5,4,7,1,12472,6000,0,0,0,0,0,340,1,0,0,0
99,0,1,1,1,999999,487,9941,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,12,67,0,6,2,3,0,5,0,1,0,0,0,2,6,8,5,0,3340,0,0,0,3340,0,0,133,0,0,0,1
99,0,1,1,0,85000,0,47584,2,1,1,2,2,0,1,1,0,1,0,0,7,0,0,1,99,99,2,0,23,0,6,3,12,1,5,2,1,0,25,44,1,1,8,6,1,2335,2335,0,0,0,0,0,237,1,0,0,1
99,0,1,1,0,275000,0,29558,4,1,1,0,0,0,0,0,0,0,0,0,2,1,0,3,8,8,0,5,28,0,6,0,5,0,0,0,0,1,20,9,1,5,2,7,1,22800,20000,0,0,0,2800,0,267,0,0,0,1
99,0,1,1,1,999999,1000,60000,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,0,3,0,6,3,13,0,8,0,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,477,2,0,2,1
99,0,1,1,1,999999,512,4000,2,0,1,1,0,0,0,0,0,0,0,0,2,1,0,2,15,15,0,9,39,0,6,3,5,0,6,0,1,0,17,13,1,2,8,6,1,6446,4800,0,0,0,0,0,75,1,0,0,1
